"","l1_name","l1_code","l2_name","l2_code"
"488","Uttarakhand",5,"Rudraprayag",58
"489","Uttarakhand",5,"Tehri Garhwal",59
"490","Uttarakhand",5,"Dehradun",60
"491","Uttarakhand",5,"Garhwal",61
"492","Uttarakhand",5,"Pithoragarh",62
"493","Uttarakhand",5,"Bageshwar",63
"494","Uttarakhand",5,"Almora",64
"495","Uttarakhand",5,"Champawat",65
"496","Uttarakhand",5,"Nainital",66
"497","Uttarakhand",5,"Udham Singh Nagar",67
"498","Uttarakhand",5,"Hardwar",68
"499","Haryana",6,"Panchkula",69
"500","Haryana",6,"Ambala",70
"501","Haryana",6,"Yamunanagar",71
"502","Haryana",6,"Kurukshetra",72
"503","Haryana",6,"Kaithal",73
"504","Haryana",6,"Karnal",74
"505","Haryana",6,"Panipat",75
"506","Haryana",6,"Sonipat",76
"507","Haryana",6,"Jind",77
"508","Haryana",6,"Fatehabad",78
"509","Haryana",6,"Sirsa",79
"510","Haryana",6,"Hisar",80
"511","Haryana",6,"Bhiwani",81
"512","Haryana",6,"Rohtak",82
"513","Haryana",6,"Jhajjar",83
"514","Haryana",6,"Mahendragarh",84
"515","Haryana",6,"Rewari",85
"516","Haryana",6,"Gurgaon",86
"517","Haryana",6,"Mewat",87
"518","Haryana",6,"Faridabad",88
"519","Haryana",6,"Palwal",89
"520","NCT Of Delhi",7,"North West",90
"521","NCT Of Delhi",7,"North",91
"522","NCT Of Delhi",7,"North East",92
"523","NCT Of Delhi",7,"East",93
"524","NCT Of Delhi",7,"New Delhi",94
"525","NCT Of Delhi",7,"Central",95
"526","NCT Of Delhi",7,"West",96
"527","NCT Of Delhi",7,"South West",97
"528","NCT Of Delhi",7,"South",98
"529","Rajasthan",8,"Hanumangarh",100
"530","Rajasthan",8,"Bikaner",101
"531","Rajasthan",8,"Churu",102
"532","Rajasthan",8,"Jhunjhunun",103
"533","Rajasthan",8,"Alwar",104
"534","Rajasthan",8,"Bharatpur",105
"535","Rajasthan",8,"Dhaulpur",106
"536","Rajasthan",8,"Karauli",107
"537","Rajasthan",8,"Sawai Madhopur",108
"538","Rajasthan",8,"Dausa",109
"539","Rajasthan",8,"Jaipur",110
"540","Rajasthan",8,"Sikar",111
"541","Rajasthan",8,"Nagaur",112
"542","Rajasthan",8,"Jodhpur",113
"543","Rajasthan",8,"Jaisalmer",114
"544","Rajasthan",8,"Barmer",115
"545","Rajasthan",8,"Jalor",116
"546","Rajasthan",8,"Sirohi",117
"547","Rajasthan",8,"Pali",118
"548","Rajasthan",8,"Ajmer",119
"549","Rajasthan",8,"Tonk",120
"550","Rajasthan",8,"Bundi",121
"551","Rajasthan",8,"Bhilwara",122
"552","Rajasthan",8,"Rajsamand",123
"553","Rajasthan",8,"Dungarpur",124
"554","Rajasthan",8,"Banswara",125
"555","Rajasthan",8,"Chittaurgarh",126
"556","Rajasthan",8,"Kota",127
"557","Rajasthan",8,"Baran",128
"558","Rajasthan",8,"Jhalawar",129
"559","Rajasthan",8,"Udaipur",130
"560","Rajasthan",8,"Pratapgarh",131
"561","Rajasthan",8,"Ganganagar",99
"562","Uttar Pradesh",9,"Saharanpur",132
"563","Uttar Pradesh",9,"Muzaffarnagar",133
"564","Uttar Pradesh",9,"Bijnor",134
"565","Uttar Pradesh",9,"Moradabad",135
"566","Uttar Pradesh",9,"Rampur",136
"567","Uttar Pradesh",9,"Jyotiba Phule Nagar",137
"568","Uttar Pradesh",9,"Meerut",138
"569","Uttar Pradesh",9,"Baghpat",139
"570","Uttar Pradesh",9,"Ghaziabad",140
"571","Uttar Pradesh",9,"Gautam Buddha Nagar",141
"572","Uttar Pradesh",9,"Bulandshahr",142
"573","Uttar Pradesh",9,"Aligarh",143
"574","Uttar Pradesh",9,"Mahamaya Nagar",144
"575","Uttar Pradesh",9,"Mathura",145
"576","Uttar Pradesh",9,"Agra",146
"577","Uttar Pradesh",9,"Firozabad",147
"578","Uttar Pradesh",9,"Mainpuri",148
"579","Uttar Pradesh",9,"Budaun",149
"580","Uttar Pradesh",9,"Bareilly",150
"581","Uttar Pradesh",9,"Pilibhit",151
"582","Uttar Pradesh",9,"Shahjahanpur",152
"583","Uttar Pradesh",9,"Kheri",153
"584","Uttar Pradesh",9,"Sitapur",154
"585","Uttar Pradesh",9,"Hardoi",155
"586","Uttar Pradesh",9,"Unnao",156
"587","Uttar Pradesh",9,"Lucknow",157
"588","Uttar Pradesh",9,"Rae Bareli",158
"589","Uttar Pradesh",9,"Farrukhabad",159
"590","Uttar Pradesh",9,"Kannauj",160
"591","Uttar Pradesh",9,"Etawah",161
"592","Uttar Pradesh",9,"Auraiya",162
"593","Uttar Pradesh",9,"Kanpur Dehat",163
"594","Uttar Pradesh",9,"Kanpur Nagar",164
"595","Uttar Pradesh",9,"Jalaun",165
"596","Uttar Pradesh",9,"Jhansi",166
"597","Uttar Pradesh",9,"Lalitpur",167
"598","Uttar Pradesh",9,"Hamirpur",168
"599","Uttar Pradesh",9,"Mahoba",169
"600","Uttar Pradesh",9,"Banda",170
"601","Uttar Pradesh",9,"Chitrakoot",171
"602","Uttar Pradesh",9,"Fatehpur",172
"603","Uttar Pradesh",9,"Pratapgarh",173
"604","Uttar Pradesh",9,"Kaushambi",174
"605","Uttar Pradesh",9,"Allahabad",175
"606","Uttar Pradesh",9,"Bara Banki",176
"607","Uttar Pradesh",9,"Faizabad",177
"608","Uttar Pradesh",9,"Ambedkar Nagar",178
"609","Uttar Pradesh",9,"Sultanpur",179
"610","Uttar Pradesh",9,"Bahraich",180
"611","Uttar Pradesh",9,"Shrawasti",181
"612","Uttar Pradesh",9,"Balrampur",182
"613","Uttar Pradesh",9,"Gonda",183
"614","Uttar Pradesh",9,"Siddharthnagar",184
"615","Uttar Pradesh",9,"Basti",185
"616","Uttar Pradesh",9,"Sant Kabir Nagar",186
"617","Uttar Pradesh",9,"Mahrajganj",187
"618","Uttar Pradesh",9,"Gorakhpur",188
"619","Uttar Pradesh",9,"Kushinagar",189
"620","Uttar Pradesh",9,"Deoria",190
"621","Uttar Pradesh",9,"Azamgarh",191
"622","Uttar Pradesh",9,"Mau",192
"623","Uttar Pradesh",9,"Ballia",193
"624","Uttar Pradesh",9,"Jaunpur",194
"625","Uttar Pradesh",9,"Ghazipur",195
"626","Uttar Pradesh",9,"Chandauli",196
"627","Uttar Pradesh",9,"Varanasi",197
"628","Uttar Pradesh",9,"Sant Ravidas Nagar (Bhadohi)",198
"629","Uttar Pradesh",9,"Mirzapur",199
"630","Uttar Pradesh",9,"Sonbhadra",200
"631","Uttar Pradesh",9,"Etah",201
"632","Uttar Pradesh",9,"Kanshiram Nagar",202
